California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
198809,0.11,-0.31
198810,0.10,-1.17
198811,4.20,1.50
198812,3.06,-0.95
198901,1.59,-2.48
198902,1.57,-2.39
198903,5.10,1.77
198904,0.83,-0.83
198905,0.77,-0.19
198906,0.31,-0.03
198907,0.04,-0.14
198908,0.29,0.06
198909,1.33,0.91
198910,1.95,0.68
198911,1.05,-1.65
198912,0.12,-3.89
199001,3.72,-0.35
199002,2.36,-1.60
199003,1.30,-2.03
199004,0.83,-0.83
199005,2.46,1.50
199006,0.18,-0.16
199007,0.28,0.10
199008,0.36,0.13
199009,0.41,-0.01
199010,0.47,-0.80
199011,0.71,-1.99
199012,0.91,-3.10
199101,1.00,-3.07
199102,2.24,-1.72
199103,9.11,5.78
199104,0.75,-0.91
199105,0.82,-0.14
199106,0.32,-0.02
199107,0.26,0.08
199108,0.20,-0.03
199109,0.24,-0.18
199110,1.28,0.01
199111,1.07,-1.63
199112,2.50,-1.51
199201,1.94,-2.13
199202,5.98,2.02
199203,3.65,0.32
199204,1.03,-0.63
199205,0.23,-0.73
199206,0.71,0.37
199207,0.24,0.06
199208,0.20,-0.03
199209,0.05,-0.37
199210,2.13,0.86
199211,0.59,-2.11
199212,6.48,2.47
199301,8.86,4.79
199302,5.98,2.02
199303,3.05,-0.28
